rocket_family,mission,rocket,provider,launch_date,launch_site,location,status
Thor Delta B,Relay 2,Thor Delta B,United States Air Force,1964-01-21 21:14:59+00:00,Space Launch Complex 17B,"Cape Canaveral SFS, FL, USA",Launch Successful
Thor SLV-2 Agena B,Echo 2,Thor SLV-2 Agena B,United States Air Force,1964-01-25 13:59:04+00:00,Space Launch Complex 2E,"Vandenberg SFB, CA, USA",Launch Successful
Saturn I,Saturn SA-5,Saturn I,National Aeronautics and Space Administration,1964-01-29 16:25:01+00:00,Space Launch Complex 37B,"Cape Canaveral SFS, FL, USA",Launch Successful
Vostok,Elektron-1 & 2,Vostok,Soviet Space Program,1964-01-30 09:45:09+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Atlas Agena B,Ranger 6,Atlas Agena B,United States Air Force,1964-01-30 15:49:09+00:00,Launch Complex 12,"Cape Canaveral SFS, FL, USA",Launch Successful
Thor SLV-2A Agena D,KH-4A 3,Thor SLV-2A Agena D,United States Air Force,1964-02-15 21:38:23+00:00,Space Launch Complex 1W,"Vandenberg SFB, CA, USA",Launch Successful
Molniya 8K78,Zond-1b,Molniya 8K78,Soviet Space Program,1964-02-19 05:47:40+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Failure
Atlas Agena D,KH-7 5,Atlas Agena D,United States Air Force,1964-02-25 18:59:47+00:00,Space Launch Complex 4W,"Vandenberg SFB, CA, USA",Launch Successful
Kosmos-2I 63S1,DS-P1 4,Kosmos-2I 63S1,Soviet Space Program,1964-02-27 13:30:00+00:00,Mayak-2,"Kapustin Yar, Russian Federation",Launch Successful
Thor SLV-2A Agena D,P-698BK Group 1-A,Thor SLV-2A Agena D,United States Air Force,1964-02-28 03:20:00+00:00,Space Launch Complex 1E,"Vandenberg SFB, CA, USA",Launch Successful
Atlas Agena D,KH-7 6,Atlas Agena D,United States Air Force,1964-03-11 20:14:24+00:00,Space Launch Complex 4W,"Vandenberg SFB, CA, USA",Launch Successful
Nike Cajun,Trailblazer Pellet,Nike Cajun,National Aeronautics and Space Administration,1964-03-12 04:17:00+00:00,Unknown Pad,"Wallops Flight Facility, Virginia, USA",Launch Successful
Kosmos-2I 63S1,DS-MG 1,Kosmos-2I 63S1,Soviet Space Program,1964-03-18 15:07:00+00:00,Mayak-2,"Kapustin Yar, Russian Federation",Launch Successful
Thor Delta B,Beacon Explorer A,Thor Delta B,United States Air Force,1964-03-19 11:13:41+00:00,Space Launch Complex 17A,"Cape Canaveral SFS, FL, USA",Launch Failure
Molniya 8K78,Luna-5a,Molniya 8K78,Soviet Space Program,1964-03-21 08:15:35+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Failure
Thor SLV-2A Agena D,KH-4A 4,Thor SLV-2A Agena D,United States Air Force,1964-03-24 22:22:48+00:00,Space Launch Complex 3W,"Vandenberg SFB, CA, USA",Launch Failure
Molniya 8K78,Zond 1c,Molniya 8K78,Soviet Space Program,1964-03-27 03:24:42+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Failure
Scout X-3,Ariel 2,Scout X-3,Science and Engineering Research Council,1964-03-27 17:25:23+00:00,Launch Area 3,"Wallops Flight Facility, Virginia, USA",Launch Successful
Molniya 8K78,Zond 1,Molniya 8K78,Soviet Space Program,1964-04-02 02:42:40+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Vostok 8A92,Zenit-2 16,Vostok 8A92,Soviet Space Program,1964-04-04 09:45:00+00:00,31/6,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Titan II GLV,Gemini I,Titan II,United States Air Force,1964-04-08 16:00:01+00:00,Launch Complex 19,"Cape Canaveral SFS, FL, USA",Launch Successful
Sputnik 11A59,Polyot-2,Sputnik 11A59,Soviet Space Program,1964-04-12 09:30:00+00:00,31/6,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Atlas D,FIRE 1,Atlas D,United States Air Force,1964-04-14 21:42:25+00:00,Launch Complex 12,"Cape Canaveral SFS, FL, USA",Launch Successful
Molniya 8K78,Luna-5b,Molniya 8K78,Soviet Space Program,1964-04-20 08:08:28+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Failure
Thor DM-21 Ablestar,Transit-5BN 3,Thor DM-21 Ablestar,United States Air Force,1964-04-21 18:50:00+00:00,Space Launch Complex 2E,"Vandenberg SFB, CA, USA",Launch Failure
Atlas Agena D,KH-7 7,Atlas Agena D,United States Air Force,1964-04-23 18:43:00+00:00,Space Launch Complex 4W,"Vandenberg SFB, CA, USA",Launch Successful
Vostok 8A92,Zenit-2 17,Vostok 8A92,Soviet Space Program,1964-04-25 10:21:00+00:00,31/6,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Thor SLV-2A Agena D,KH-4A 5,Thor SLV-2A Agena D,United States Air Force,1964-04-27 23:23:43+00:00,Space Launch Complex 1W,"Vandenberg SFB, CA, USA",Launch Successful
Little Joe II,A-001,Little Joe II,National Aeronautics and Space Administration,1964-05-13 12:59:59+00:00,Launch Complex 36,White Sands Missile Range,Launch Successful
Voskhod,Zenit-4 2,Voskhod,Soviet Space Program,1964-05-18 09:42:00+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Atlas Agena D,KH-7 8,Atlas Agena D,United States Air Force,1964-05-19 19:21:14+00:00,Space Launch Complex 4W,"Vandenberg SFB, CA, USA",Launch Successful
Saturn I,Saturn-SA 6,Saturn I,National Aeronautics and Space Administration,1964-05-28 17:07:00+00:00,Space Launch Complex 37B,"Cape Canaveral SFS, FL, USA",Launch Successful
Scout X-4,Transit VC,Scout X-4,United States Air Force,1964-06-04 03:50:55+00:00,Space Launch Complex 5,"Vandenberg SFB, CA, USA",Launch Successful
Molniya 8K78,Molniya-1 1a,Molniya 8K78,Soviet Space Program,1964-06-04 04:00:00+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Failure
Thor SLV-2A Agena D,KH-4A 6,Thor SLV-2A Agena D,United States Air Force,1964-06-04 22:59:00+00:00,Space Launch Complex 3W,"Vandenberg SFB, CA, USA",Launch Successful
Kosmos-2I 63S1,DS-MT 2,Kosmos-2I 63S1,Soviet Space Program,1964-06-06 06:00:00+00:00,Mayak-2,"Kapustin Yar, Russian Federation",Launch Successful
Vostok 8A92,Zenit-2 18,Vostok 8A92,Soviet Space Program,1964-06-10 11:00:00+00:00,31/6,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Thor SLV-2A Agena D,KH-5 11,Thor SLV-2A Agena D,United States Air Force,1964-06-13 15:47:00+00:00,Space Launch Complex 2W,"Vandenberg SFB, CA, USA",Launch Successful
Thor SLV-2 Agena D,DSAP-1 F8 & F9,Thor SLV-2 Agena D,United States Air Force,1964-06-18 04:56:08+00:00,Space Launch Complex 1W,"Vandenberg SFB, CA, USA",Launch Successful
Thor SLV-2A Agena D,KH-4A 7,Thor SLV-2A Agena D,United States Air Force,1964-06-19 23:18:07+00:00,Space Launch Complex 2E,"Vandenberg SFB, CA, USA",Launch Successful
Vostok 8A92,Zenit-2 19,Vostok 8A92,Soviet Space Program,1964-06-23 10:00:00+00:00,31/6,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Scout X-4,ESRS,Scout X-4,United States Air Force,1964-06-25 01:40:24+00:00,Space Launch Complex 5,"Vandenberg SFB, CA, USA",Launch Failure
Atlas Centaur,AC-3 Instrumentation Ring,Atlas Centaur,United States Air Force,1964-06-30 14:04:22+00:00,Launch Complex 36A,"Cape Canaveral SFS, FL, USA",Launch Failure
Voskhod,Zenit-4 3,Voskhod,Soviet Space Program,1964-07-01 11:00:00+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Thor SLV-2A Agena D,P-698BK Group 2-D 2,Thor SLV-2A Agena D,United States Air Force,1964-07-02 23:59:56+00:00,Space Launch Complex 1E,"Vandenberg SFB, CA, USA",Launch Successful
Atlas Agena D,KH-7 9,Atlas Agena D,United States Air Force,1964-07-06 18:51:18+00:00,Space Launch Complex 4W,"Vandenberg SFB, CA, USA",Launch Successful
Vostok,Elektron-3 &4,Vostok,Soviet Space Program,1964-07-10 21:51:02+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Thor SLV-2A Agena D,KH-4A 8,Thor SLV-2A Agena D,United States Air Force,1964-07-10 23:14:04+00:00,Space Launch Complex 3W,"Vandenberg SFB, CA, USA",Launch Successful
Vostok 8A92,Zenit-2 20,Vostok 8A92,Soviet Space Program,1964-07-15 11:27:00+00:00,31/6,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Atlas Agena D,Vela 2A & 2B,Atlas Agena D,United States Air Force,1964-07-17 08:22:00+00:00,Space Launch Complex 13,"Cape Canaveral SFS, FL, USA",Launch Successful
Atlas Agena B,Ranger 7,Atlas Agena B,United States Air Force,1964-07-28 16:50:07+00:00,Launch Complex 12,"Cape Canaveral SFS, FL, USA",Launch Successful
Kosmos-2I 63S1,DS-P1-Yu 1,Kosmos-2I 63S1,Soviet Space Program,1964-07-30 03:36:00+00:00,Mayak-2,"Kapustin Yar, Russian Federation",Launch Successful
Thor SLV-2A Agena D,KH-4A 9,Thor SLV-2A Agena D,United States Air Force,1964-08-05 23:15:35+00:00,Space Launch Complex 1W,"Vandenberg SFB, CA, USA",Launch Successful
Vostok 8A92,Zenit-2 21,Vostok 8A92,Soviet Space Program,1964-08-14 09:30:00+00:00,31/6,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Atlas SLV-3 Agena D,KH-7 10,Atlas SLV-3 Agena D,United States Air Force,1964-08-14 22:00:13+00:00,Space Launch Complex 4E,"Vandenberg SFB, CA, USA",Launch Successful
Scout X-4A,Reentry-4A,Scout X-4A,National Aeronautics and Space Administration,1964-08-18 06:05:00+00:00,Launch Area 3,"Wallops Flight Facility, Virginia, USA",Launch Successful
Kosmos 65S3,"Strela-1 1,2,3",Kosmos 65S3,Soviet Space Program,1964-08-18 09:15:00+00:00,41/15,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Thor Delta D,Syncom 3,Thor Delta D,United States Air Force,1964-08-19 12:15:02+00:00,Space Launch Complex 17A,"Cape Canaveral SFS, FL, USA",Launch Successful
Thor SLV-2A Agena D,KH-5 12,Thor SLV-2A Agena D,United States Air Force,1964-08-21 15:45:00+00:00,Space Launch Complex 2W,"Vandenberg SFB, CA, USA",Launch Successful
Molniya 8K78,Molniya-1 1b,Molniya 8K78,Soviet Space Program,1964-08-22 07:21:00+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Kosmos-2I 63S1,"Strela-1 4,5",Kosmos-2I 63S1,Soviet Space Program,1964-08-22 11:00:00+00:00,Mayak-2,"Kapustin Yar, Russian Federation",Launch Successful
Scout X-4,Explorer 20,Scout X-4,National Aeronautics and Space Administration,1964-08-25 13:43:00+00:00,Space Launch Complex 5,"Vandenberg SFB, CA, USA",Launch Successful
Thor SLV-2 Agena B,Nimbus 1,Thor SLV-2 Agena B,United States Air Force,1964-08-28 07:56:57+00:00,Space Launch Complex 2E,"Vandenberg SFB, CA, USA",Launch Successful
Vostok 8A92M,Meteor-1 1,Vostok 8A92M,Soviet Space Program,1964-08-28 16:00:00+00:00,31/6,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Titan IIIA,Transtage 1,Titan IIIA,United States Air Force,1964-09-01 15:00:06+00:00,Space Launch Complex 20,"Cape Canaveral SFS, FL, USA",Launch Failure
Atlas Agena B,OGO 1,Atlas Agena B,United States Air Force,1964-09-05 01:23:00+00:00,Launch Complex 12,"Cape Canaveral SFS, FL, USA",Launch Successful
Voskhod,Zenit-4 4,Voskhod,Soviet Space Program,1964-09-13 09:45:00+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Thor SLV-2A Agena D,KH-4A 10,Thor SLV-2A Agena D,United States Air Force,1964-09-14 22:53:43+00:00,Space Launch Complex 3W,"Vandenberg SFB, CA, USA",Launch Successful
Saturn I,Saturn-SA 7,Saturn I,National Aeronautics and Space Administration,1964-09-18 16:22:43+00:00,Space Launch Complex 37B,"Cape Canaveral SFS, FL, USA",Launch Successful
Atlas SLV-3 Agena D,KH-7 11,Atlas SLV-3 Agena D,United States Air Force,1964-09-23 20:05:00+00:00,Space Launch Complex 4E,"Vandenberg SFB, CA, USA",Launch Successful
Vostok 8A92,Zenit-2 22,Vostok 8A92,Soviet Space Program,1964-09-24 12:04:00+00:00,31/6,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Thor Delta C,Explorer 21,Thor Delta C,United States Air Force,1964-10-04 03:45:00+00:00,Space Launch Complex 17A,"Cape Canaveral SFS, FL, USA",Launch Successful
Thor SLV-2A Agena D,KH-4A 11,Thor SLV-2A Agena D,United States Air Force,1964-10-05 21:50:14+00:00,Space Launch Complex 1W,"Vandenberg SFB, CA, USA",Launch Successful
Voskhod,Voskhod-3KV 1,Voskhod,Soviet Space Program,1964-10-06 07:00:00+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Thor DM-21 Ablestar,Transit-O 1,Thor DM-21 Ablestar,United States Air Force,1964-10-06 17:04:21+00:00,Space Launch Complex 2W,"Vandenberg SFB, CA, USA",Launch Successful
Atlas SLV-3 Agena D,KH-7 12,Atlas SLV-3 Agena D,United States Air Force,1964-10-07 19:30:00+00:00,Space Launch Complex 4E,"Vandenberg SFB, CA, USA",Launch Failure
Scout X-4,Beacon Explorer B,Scout X-4,National Aeronautics and Space Administration,1964-10-10 03:01:00+00:00,Space Launch Complex 5,"Vandenberg SFB, CA, USA",Launch Successful
Voskhod,Voskhod 1,Voskhod,Soviet Space Program,1964-10-12 07:30:01+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Vostok 8A92,Zenit-2 23,Vostok 8A92,Soviet Space Program,1964-10-14 10:00:00+00:00,31/6,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Thor SLV-2A Agena D,KH-4A 12,Thor SLV-2A Agena D,United States Air Force,1964-10-17 22:02:23+00:00,Space Launch Complex 3W,"Vandenberg SFB, CA, USA",Launch Successful
Kosmos 65S3,"Strela-1 6,7,8",Kosmos 65S3,Soviet Space Program,1964-10-23 07:30:00+00:00,41/15,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Failure
Atlas Agena D,KH-7 13,Atlas Agena D,United States Air Force,1964-10-23 18:27:00+00:00,Space Launch Complex 4W,"Vandenberg SFB, CA, USA",Launch Successful
Kosmos-2I 63S1,DS-MG 2,Kosmos-2I 63S1,Soviet Space Program,1964-10-24 05:17:00+00:00,Mayak-2,"Kapustin Yar, Russian Federation",Launch Successful
Vostok 8A92,Zenit-2 24,Vostok 8A92,Soviet Space Program,1964-10-28 10:40:00+00:00,31/6,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Thor SLV-2A Agena D,KH-4A 13,Thor SLV-2A Agena D,United States Air Force,1964-11-02 21:30:20+00:00,Space Launch Complex 1W,"Vandenberg SFB, CA, USA",Launch Successful
Thor SLV-2A Agena D,P-698BK Group 3-D 1,Thor SLV-2A Agena D,United States Air Force,1964-11-04 02:12:11+00:00,Space Launch Complex 1E,"Vandenberg SFB, CA, USA",Launch Successful
Atlas Agena D,Mariner 3,Atlas Agena D,United States Air Force,1964-11-05 19:22:05+00:00,Space Launch Complex 13,"Cape Canaveral SFS, FL, USA",Launch Successful
Scout X-4,Explorer 23,Scout X-4,National Aeronautics and Space Administration,1964-11-06 12:02:01+00:00,Launch Area 3,"Wallops Flight Facility, Virginia, USA",Launch Successful
Nike Cajun,Trailblazer Pellet,Nike Cajun,National Aeronautics and Space Administration,1964-11-07 01:38:00+00:00,Unknown Pad,"Wallops Flight Facility, Virginia, USA",Launch Successful
Thor SLV-2A Agena D,KH-4A 14,Thor SLV-2A Agena D,United States Air Force,1964-11-18 20:35:54+00:00,Space Launch Complex 2E,"Vandenberg SFB, CA, USA",Launch Successful
Scout X-4,Explorer 24 & 25,Scout X-4,National Aeronautics and Space Administration,1964-11-21 17:09:39+00:00,Space Launch Complex 5,"Vandenberg SFB, CA, USA",Launch Successful
Atlas Agena D,Mariner 4,Atlas Agena D,United States Air Force,1964-11-28 14:22:01+00:00,Launch Complex 12,"Cape Canaveral SFS, FL, USA",Launch Successful
Molniya 8K78,Zond-2,Molniya 8K78,Soviet Space Program,1964-11-30 13:25:00+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Kosmos-2I 63S1,DS-2 2,Kosmos-2I 63S1,Soviet Space Program,1964-12-01 08:45:00+00:00,86/1,"Kapustin Yar, Russian Federation",Launch Failure
Atlas SLV-3 Agena D,KH-7 14,Atlas SLV-3 Agena D,United States Air Force,1964-12-04 19:00:00+00:00,Space Launch Complex 4E,"Vandenberg SFB, CA, USA",Launch Successful
Little Joe II,A-002,Little Joe II,National Aeronautics and Space Administration,1964-12-08 15:00:00+00:00,Launch Complex 36,White Sands Missile Range,Launch Successful
Kosmos-2I 63S1,DS-MT 3,Kosmos-2I 63S1,Soviet Space Program,1964-12-09 23:00:00+00:00,86/1,"Kapustin Yar, Russian Federation",Launch Successful
Titan IIIA,Transtage 2,Titan IIIA,United States Air Force,1964-12-10 16:53:33+00:00,Space Launch Complex 20,"Cape Canaveral SFS, FL, USA",Launch Successful
Atlas Centaur,Surveyor Mass Model,Atlas Centaur,United States Air Force,1964-12-11 14:25:02+00:00,Launch Complex 36A,"Cape Canaveral SFS, FL, USA",Launch Successful
Thor DM-21 Ablestar,Transit-O 2 & 5E-5,Thor DM-21 Ablestar,United States Air Force,1964-12-13 00:08:10+00:00,Space Launch Complex 2W,"Vandenberg SFB, CA, USA",Launch Successful
Scout X-4,San Marco 1,Scout X-4,National Research Council,1964-12-15 20:20:04+00:00,Launch Area 3A,"Wallops Flight Facility, Virginia, USA",Launch Successful
Thor SLV-2A Agena D,KH-4A 15,Thor SLV-2A Agena D,United States Air Force,1964-12-19 21:10:16+00:00,Space Launch Complex 1W,"Vandenberg SFB, CA, USA",Launch Successful
Thor Delta C,Explorer 26,Thor Delta C,United States Air Force,1964-12-21 09:00:03+00:00,Space Launch Complex 17A,"Cape Canaveral SFS, FL, USA",Launch Successful
Thor SLV-2A Agena D,Quill 1,Thor SLV-2A Agena D,United States Air Force,1964-12-21 19:08:56+00:00,Space Launch Complex 2E,"Vandenberg SFB, CA, USA",Launch Successful
Vostok 8A92,Zenit-2 25,Vostok 8A92,Soviet Space Program,1965-01-11 09:29:58+00:00,31/6,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Thor SLV-2A Agena D,KH-4A 16,Thor SLV-2A Agena D,United States Air Force,1965-01-15 21:00:44+00:00,Space Launch Complex 1E,"Vandenberg SFB, CA, USA",Launch Successful
Thor MG-18,DSAP-1 F10,Thor MG-18,United States Air Force,1965-01-19 05:03:42+00:00,Space Launch Complex 10W,"Vandenberg SFB, CA, USA",Launch Successful
Titan II GLV,Gemini II,Titan II,United States Air Force,1965-01-19 14:04:00+00:00,Launch Complex 19,"Cape Canaveral SFS, FL, USA",Launch Successful
Atlas D,OV1-1,Atlas D,United States Air Force,1965-01-21 21:34:54+00:00,576B3,"Vandenberg SFB, CA, USA",Launch Failure
Thor Delta C,Tiros 9,Thor Delta C,United States Air Force,1965-01-22 07:52:00+00:00,Space Launch Complex 17A,"Cape Canaveral SFS, FL, USA",Launch Failure
Atlas SLV-3 Agena D,KH-7 15,Atlas SLV-3 Agena D,United States Air Force,1965-01-23 20:06:00+00:00,Space Launch Complex 4W,"Vandenberg SFB, CA, USA",Launch Successful
Kosmos-2I 63S1,DS-A1 5,Kosmos-2I 63S1,Soviet Space Program,1965-01-30 09:36:00+00:00,86/1,"Kapustin Yar, Russian Federation",Launch Successful
Thor Delta C,OSO 2,Thor Delta C,United States Air Force,1965-02-03 16:36:00+00:00,Space Launch Complex 17B,"Cape Canaveral SFS, FL, USA",Launch Successful
Titan IIIA,LES 1,Titan IIIA,United States Air Force,1965-02-11 15:19:05+00:00,Space Launch Complex 20,"Cape Canaveral SFS, FL, USA",Launch Successful
Kosmos-2I 63S1,DS-P1-Yu 2,Kosmos-2I 63S1,Soviet Space Program,1965-02-12 12:00:00+00:00,86/1,"Kapustin Yar, Russian Federation",Launch Failure
Saturn I,Pegasus 1,Saturn I,National Aeronautics and Space Administration,1965-02-16 14:37:03+00:00,Space Launch Complex 37B,"Cape Canaveral SFS, FL, USA",Launch Successful
Atlas Agena B,Ranger 8,Atlas Agena B,United States Air Force,1965-02-17 17:05:00+00:00,Launch Complex 12,"Cape Canaveral SFS, FL, USA",Launch Successful
Kosmos-2I 63S1,DS-A1 6,Kosmos-2I 63S1,Soviet Space Program,1965-02-20 06:30:00+00:00,86/1,"Kapustin Yar, Russian Federation",Launch Failure
Kosmos 65S3,"Strela-1 9,10,11",Kosmos 65S3,Soviet Space Program,1965-02-21 11:00:00+00:00,41/15,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Voskhod,Voskhod-3KD 1,Voskhod,Soviet Space Program,1965-02-22 07:30:00+00:00,31/6,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Thor SLV-2A Agena D,KH-4A 17,Thor SLV-2A Agena D,United States Air Force,1965-02-25 21:44:55+00:00,Space Launch Complex 3W,"Vandenberg SFB, CA, USA",Launch Successful
Vostok 8A92M,Meteor-1 2,Vostok 8A92M,Soviet Space Program,1965-02-26 05:01:32+00:00,31/6,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Atlas Centaur,Surveyor-SD 1,Atlas Centaur,United States Air Force,1965-03-02 13:25:00+00:00,Launch Complex 36A,"Cape Canaveral SFS, FL, USA",Launch Failure
Voskhod,Zenit-4 5,Voskhod,Soviet Space Program,1965-03-07 08:59:28+00:00,31/6,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Thor SLV-2 Agena D,"Poppy 6A,B,C,D",Thor SLV-2 Agena D,United States Air Force,1965-03-09 18:29:47+00:00,Space Launch Complex 2W,"Vandenberg SFB, CA, USA",Launch Successful
Thor DM-21 Ablestar,Transit-O 3,Thor DM-21 Ablestar,United States Air Force,1965-03-11 13:39:59+00:00,Space Launch Complex 2E,"Vandenberg SFB, CA, USA",Launch Successful
Molniya 8K78,Luna-5c,Molniya 8K78,Soviet Space Program,1965-03-12 09:25:31+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Failure
Atlas SLV-3 Agena D,KH-7 16,Atlas SLV-3 Agena D,United States Air Force,1965-03-12 19:20:00+00:00,Space Launch Complex 4W,"Vandenberg SFB, CA, USA",Launch Successful
Kosmos 65S3,"Strela-1 12,13,14",Kosmos 65S3,Soviet Space Program,1965-03-15 11:00:00+00:00,41/15,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Thor MG-18,DSAP-1 F11,Thor MG-18,United States Air Force,1965-03-18 04:43:46+00:00,Space Launch Complex 10W,"Vandenberg SFB, CA, USA",Launch Successful
Voskhod,Voskhod 2,Voskhod,Soviet Space Program,1965-03-18 07:00:00+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Atlas Agena B,Ranger 9,Atlas Agena B,United States Air Force,1965-03-21 21:37:02+00:00,Launch Complex 12,"Cape Canaveral SFS, FL, USA",Launch Successful
Titan II GLV,Gemini III,Titan II,National Aeronautics and Space Administration,1965-03-23 14:24:00+00:00,Launch Complex 19,"Cape Canaveral SFS, FL, USA",Launch Successful
Vostok 8A92,Zenit-2 26,Vostok 8A92,Soviet Space Program,1965-03-25 10:00:00+00:00,31/6,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Thor SLV-2A Agena D,KH-4A 18,Thor SLV-2A Agena D,United States Air Force,1965-03-25 21:11:17+00:00,Space Launch Complex 1W,"Vandenberg SFB, CA, USA",Launch Successful
Blue Scout Jr,OAR 22-4,Blue Scout Jr,United States Air Force,1965-03-30 16:09:31+00:00,Launch Complex 18A,"Cape Canaveral SFS, FL, USA",Launch Successful
Atlas SLV-3 Agena D,SNAPSHOT-1,Atlas SLV-3 Agena D,United States Air Force,1965-04-03 21:25:00+00:00,Space Launch Complex 4E,"Vandenberg SFB, CA, USA",Launch Successful
Thor Delta D,Early Bird,Thor Delta D,United States Air Force,1965-04-06 23:47:50+00:00,Space Launch Complex 17A,"Cape Canaveral SFS, FL, USA",Launch Successful
Blue Scout Jr,OAR 22-9,Blue Scout Jr,United States Air Force,1965-04-09 18:10:37+00:00,Launch Complex 18A,"Cape Canaveral SFS, FL, USA",Launch Successful
Molniya 8K78,Luna-5d,Molniya 8K78,Soviet Space Program,1965-04-10 08:39:01+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Failure
Voskhod,Zenit-4 6,Voskhod,Soviet Space Program,1965-04-17 09:50:00+00:00,31/6,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Molniya 8K78,Molniya-1 1,Molniya 8K78,Soviet Space Program,1965-04-23 01:55:00+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Atlas SLV-3 Agena D,KH-7 17,Atlas SLV-3 Agena D,United States Air Force,1965-04-28 21:15:00+00:00,Space Launch Complex 4E,"Vandenberg SFB, CA, USA",Launch Successful
Scout X-4,Beacon Explorer C,Scout X-4,National Aeronautics and Space Administration,1965-04-29 14:17:00+00:00,Launch Area 3A,"Wallops Flight Facility, Virginia, USA",Launch Successful
Thor SLV-2A Agena D,KH-4A 19,Thor SLV-2A Agena D,United States Air Force,1965-04-29 21:44:56+00:00,Space Launch Complex 3W,"Vandenberg SFB, CA, USA",Launch Successful
Nike Cajun,Trailblazer Pellet,Nike Cajun,National Aeronautics and Space Administration,1965-05-04 05:50:00+00:00,Unknown Pad,"Wallops Flight Facility, Virginia, USA",Launch Successful
Titan IIIA,LES 2,Titan IIIA,United States Air Force,1965-05-06 15:00:03+00:00,Space Launch Complex 20,"Cape Canaveral SFS, FL, USA",Launch Successful
Vostok 8A92,Zenit-2 27,Vostok 8A92,Soviet Space Program,1965-05-07 09:29:59+00:00,31/6,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Molniya 8K78,Luna-5,Molniya 8K78,Soviet Space Program,1965-05-09 07:49:37+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Blue Scout Jr,OAR 22-8,Blue Scout Jr,United States Air Force,1965-05-12 16:02:35+00:00,Launch Complex 18A,"Cape Canaveral SFS, FL, USA",Launch Successful
Thor SLV-2A Agena D,KH-4A 20,Thor SLV-2A Agena D,United States Air Force,1965-05-18 18:02:18+00:00,Space Launch Complex 1W,"Vandenberg SFB, CA, USA",Launch Successful
Little Joe II,A-003,Little Joe II,National Aeronautics and Space Administration,1965-05-19 13:01:04+00:00,Launch Complex 36,White Sands Missile Range,Launch Failure
Thor Burner 1,OPS 8386,Thor Burner 1,United States Air Force,1965-05-20 16:30:53+00:00,Space Launch Complex 10W,"Vandenberg SFB, CA, USA",Launch Successful
Atlas D,FIRE 2,Atlas D,United States Air Force,1965-05-22 21:55:00+00:00,Launch Complex 12,"Cape Canaveral SFS, FL, USA",Launch Successful
Saturn I,Pegasus 2,Saturn I,National Aeronautics and Space Administration,1965-05-25 07:35:01+00:00,Space Launch Complex 37B,"Cape Canaveral SFS, FL, USA",Launch Successful
Voskhod,Zenit-4 7,Voskhod,Soviet Space Program,1965-05-25 10:50:00+00:00,31/6,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
