rocket_family,mission,rocket,provider,launch_date,launch_site,location,status
Vostok 8K72,Korabl'-Sputnik-1,Vostok 8K72,Soviet Space Program,1960-05-15 00:00:05+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Atlas Agena A,Midas 2,Atlas Agena A,United States Air Force,1960-05-24 17:36:46+00:00,Space Launch Complex 14,"Cape Canaveral SFS, FL, USA",Launch Successful
Thor DM-21 Ablestar,Transit 2A,Thor DM-21 Ablestar,United States Air Force,1960-06-22 05:54:00+00:00,Space Launch Complex 17B,"Cape Canaveral SFS, FL, USA",Launch Successful
Thor Agena A,Discoverer 12,Thor Agena A,United States Air Force,1960-06-29 22:00:44+00:00,Space Launch Complex 1W,"Vandenberg SFB, CA, USA",Launch Failure
Vostok 8K72,Korabl-Sputnik (2),Vostok 8K72,Soviet Space Program,1960-07-28 09:31:00+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Failure
Atlas LV-3B,Mercury-Atlas 1,Atlas LV-3B,National Aeronautics and Space Administration,1960-07-29 13:13:00+00:00,Space Launch Complex 14,"Cape Canaveral SFS, FL, USA",Launch Failure
Thor Agena A,Discoverer 13,Thor Agena A,United States Air Force,1960-08-10 20:37:54+00:00,Space Launch Complex 1E,"Vandenberg SFB, CA, USA",Launch Successful
Thor Delta,Echo 1,Thor Delta,United States Air Force,1960-08-12 09:39:43+00:00,Space Launch Complex 17A,"Cape Canaveral SFS, FL, USA",Launch Successful
Thor Agena A,Discoverer 14,Thor Agena A,United States Air Force,1960-08-18 19:57:08+00:00,Space Launch Complex 1W,"Vandenberg SFB, CA, USA",Launch Successful
Thor DM-21 Ablestar,Courier 1A,Thor DM-21 Ablestar,United States Air Force,1960-08-18 19:58:00+00:00,Space Launch Complex 17B,"Cape Canaveral SFS, FL, USA",Launch Failure
Vostok 8K72,Korabl'-Sputnik-2,Vostok 8K72,Soviet Space Program,1960-08-19 08:44:06+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Thor Agena A,Discoverer 15,Thor Agena A,United States Air Force,1960-09-13 22:13:39+00:00,Space Launch Complex 1E,"Vandenberg SFB, CA, USA",Launch Successful
Blue Scout Jr,Blue Scout D-1,Blue Scout Jr,United States Air Force,1960-09-21 13:01:53+00:00,Launch Complex 18A,"Cape Canaveral SFS, FL, USA",Launch Successful
Atlas-Able,P-30 (Able VA),Atlas-Able,United States Air Force,1960-09-25 15:13:17+00:00,Launch Complex 12,"Cape Canaveral SFS, FL, USA",Launch Failure
Scout X-1,ST-2,Scout X-1,National Aeronautics and Space Administration,1960-10-04 15:23:00+00:00,Launch Area 3,"Wallops Flight Facility, Virginia, USA",Launch Successful
Thor DM-21 Ablestar,Courier 1B,Thor DM-21 Ablestar,United States Air Force,1960-10-04 17:50:00+00:00,Space Launch Complex 17B,"Cape Canaveral SFS, FL, USA",Launch Successful
Molniya 8K78,Mars-1a,Molniya 8K78,Soviet Space Program,1960-10-10 14:27:49+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Failure
Atlas Agena A,Samos 1,Atlas Agena A,United States Air Force,1960-10-11 20:33:28+00:00,Space Launch Complex 3W,"Vandenberg SFB, CA, USA",Launch Failure
Molniya 8K78,Mars-1b,Molniya 8K78,Soviet Space Program,1960-10-14 13:51:03+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Failure
Thor DM-21 Agena-B,Discoverer 16,Thor DM-21 Agena-B,United States Air Force,1960-10-26 20:26:09+00:00,Space Launch Complex 1W,"Vandenberg SFB, CA, USA",Launch Failure
Juno II,Explorer 8,Juno II,National Aeronautics and Space Administration,1960-11-03 05:23:10+00:00,Launch Complex 26B,"Cape Canaveral SFS, FL, USA",Launch Successful
Little Joe,LJ-5,Little Joe,National Aeronautics and Space Administration,1960-11-08 15:18:00+00:00,Launch Area 1,"Wallops Flight Facility, Virginia, USA",Launch Failure
Thor DM-21 Agena-B,Discoverer 17,Thor DM-21 Agena-B,United States Air Force,1960-11-12 20:42:32+00:00,Space Launch Complex 1E,"Vandenberg SFB, CA, USA",Launch Successful
Redstone MRLV,Mercury-Redstone 1,Redstone,National Aeronautics and Space Administration,1960-11-21 14:00:00+00:00,Launch Complex 5,"Cape Canaveral SFS, FL, USA",Launch Failure
Thor Delta,Tiros 2,Thor Delta,United States Air Force,1960-11-23 11:13:03+00:00,Space Launch Complex 17A,"Cape Canaveral SFS, FL, USA",Launch Successful
Thor DM-21 Ablestar,Transit 3A,Thor DM-21 Ablestar,United States Air Force,1960-11-30 19:50:00+00:00,Space Launch Complex 17B,"Cape Canaveral SFS, FL, USA",Launch Failure
Vostok 8K72,Korabl'-Sputnik-3,Vostok 8K72,Soviet Space Program,1960-12-01 07:30:04+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Scout X-1,NASA S-56,Scout X-1,National Aeronautics and Space Administration,1960-12-04 21:14:00+00:00,Launch Area 3,"Wallops Flight Facility, Virginia, USA",Launch Failure
Thor DM-21 Agena-B,Discoverer 18,Thor DM-21 Agena-B,United States Air Force,1960-12-07 20:20:58+00:00,Space Launch Complex 1W,"Vandenberg SFB, CA, USA",Launch Successful
Atlas-Able,P-31,Atlas-Able,United States Air Force,1960-12-15 09:10:00+00:00,Launch Complex 12,"Cape Canaveral SFS, FL, USA",Launch Failure
Redstone MRLV,Mercury-Redstone 1A,Redstone,National Aeronautics and Space Administration,1960-12-19 16:15:00+00:00,Launch Complex 5,"Cape Canaveral SFS, FL, USA",Launch Successful
Thor DM-21 Agena-B,Discoverer 19,Thor DM-21 Agena-B,United States Air Force,1960-12-20 20:32:00+00:00,Space Launch Complex 1E,"Vandenberg SFB, CA, USA",Launch Successful
Vostok,Korabl-Sputnik (4),Vostok,Soviet Space Program,1960-12-22 07:45:19+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Failure
Redstone MRLV,Mercury-Redstone 2,Redstone,National Aeronautics and Space Administration,1961-01-31 16:55:00+00:00,Launch Complex 5,"Cape Canaveral SFS, FL, USA",Launch Successful
Atlas LV-3A,Samos 2,Atlas Agena B,United States Air Force,1961-01-31 20:21:19+00:00,Space Launch Complex 3W,"Vandenberg SFB, CA, USA",Launch Successful
Molniya 8K78,Venera-1VA 1,Molniya 8K78,Soviet Space Program,1961-02-04 01:18:03+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Failure
Molniya 8K78,Venera-1VA 2,Molniya 8K78,Soviet Space Program,1961-02-12 00:34:36+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Scout X-1,Explorer 9,Scout X-1,National Aeronautics and Space Administration,1961-02-16 13:05:00+00:00,Launch Area 3,"Wallops Flight Facility, Virginia, USA",Launch Successful
Thor DM-21 Agena-B,KH-5 1,Thor DM-21 Agena-B,United States Air Force,1961-02-17 20:25:02+00:00,Space Launch Complex 1W,"Vandenberg SFB, CA, USA",Launch Successful
Thor DM-21 Agena-B,Discoverer 21 (MIDAS RM-2),Thor DM-21 Agena-B,United States Air Force,1961-02-18 22:57:58+00:00,Space Launch Complex 1E,"Vandenberg SFB, CA, USA",Launch Successful
Atlas LV-3B,Mercury-Atlas 2,Atlas LV-3B,National Aeronautics and Space Administration,1961-02-21 14:10:00+00:00,Space Launch Complex 14,"Cape Canaveral SFS, FL, USA",Launch Successful
Thor DM-21 Ablestar,Transit 3B & LOFTI-1,Thor DM-21 Ablestar,United States Air Force,1961-02-22 03:45:00+00:00,Space Launch Complex 17B,"Cape Canaveral SFS, FL, USA",Launch was a Partial Failure
Juno II,S-45,Juno II,Army Ballistic Missile Agency,1961-02-25 00:13:16+00:00,Launch Complex 26B,"Cape Canaveral SFS, FL, USA",Launch Failure
Vostok-K,Sputnik 9,Vostok,Soviet Space Program,1961-03-09 06:29:00+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Little Joe,LJ-5A,Little Joe,National Aeronautics and Space Administration,1961-03-18 16:49:00+00:00,Launch Area 1,"Wallops Flight Facility, Virginia, USA",Launch was a Partial Failure
Redstone MRLV,Mercury-Redstone BD,Redstone,National Aeronautics and Space Administration,1961-03-24 17:30:00+00:00,Launch Complex 5,"Cape Canaveral SFS, FL, USA",Launch Successful
Vostok-K,Sputnik 10,Vostok,Soviet Space Program,1961-03-25 05:54:00+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Delta DM-19,Explorer 10,Delta DM-19,United States Air Force,1961-03-25 15:17:04+00:00,Space Launch Complex 17A,"Cape Canaveral SFS, FL, USA",Launch Successful
Thor DM-21 Agena-B,Discoverer 22,Thor DM-21 Agena-B,United States Air Force,1961-03-30 20:34:43+00:00,Space Launch Complex 1W,"Vandenberg SFB, CA, USA",Launch Failure
Thor DM-21 Agena-B,KH-5 2,Thor DM-21 Agena-B,United States Air Force,1961-04-08 19:21:08+00:00,Space Launch Complex 1E,"Vandenberg SFB, CA, USA",Launch Successful
Vostok-K,Vostok 1,Vostok,Soviet Space Program,1961-04-12 06:07:00+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Trailblazer 1,Trailblazer 1g,Trailblazer 1,National Aeronautics and Space Administration,1961-04-21 05:56:20+00:00,Unknown Pad,"Wallops Flight Facility, Virginia, USA",Launch Successful
Atlas LV-3B,Mercury-Atlas 3,Atlas LV-3B,National Aeronautics and Space Administration,1961-04-25 16:15:00+00:00,Space Launch Complex 14,"Cape Canaveral SFS, FL, USA",Launch Failure
Juno II,Explorer 11,Juno II,Army Ballistic Missile Agency,1961-04-27 14:16:38+00:00,Launch Complex 26B,"Cape Canaveral SFS, FL, USA",Launch Successful
